"SUBS_GROUP_TYPE","SUBS_GROUP_TYPE_DESC","IS_UP","IS_NECESSARY","IS_VALID"
"63","沃商务基础版A计划","1","0","1"
"64","沃商务基础版B计划","1","0","1"
"65","沃商务加强版A计划","1","0","1"
"66","沃商务加强版B计划","1","0","1"
"23","亲情1+-亲情随身  ","1","0","1"
"31","亲情1+-亲情号    ","1","0","1"
"32","亲情1+-同振      ","1","0","1"
"33","亲情1+-同号      ","1","0","1"
"34","亲情1+-交叉互惠  ","1","0","1"
"39","亲情1+-其它      ","1","0","1"
"41","深度捆绑-亲情在线","1","0","1"
"42","深度捆绑-亲情无限","1","0","1"
"43","深度捆绑-亲情随身","1","0","1"
"50","商务1+           ","1","0","1"
"61","沃家庭A计划      ","1","0","1"
"62","沃家庭B计划      ","1","0","1"
"10","VPN              ","1","0","1"
"21","亲情1+-亲情在线  ","1","0","1"
"22","亲情1+-亲情无限  ","1","0","1"
"67","沃家庭自由版,1","0","1",""
"71","沃享","1","0","1"
"81","智慧沃家组合套餐,1","0","1",""
"82","智慧沃家共享套餐,1","0","1",""
"70","智慧沃家,1","0","1",""
